sentence,predicted_label,actual_label
- by email at generic_954@email_91.domain,1,1
1.2 requests should be made in writing to the company_04490’s data protection officer and you will need to provide both of the following:,1,1
"2.2questions, comments and requests regarding this notice may be emailed to generic_057@email_82.domain or sent by post to the above mentioned address.",1,1
2.5.1  the right to rectification if any personal data we hold about you is inaccurate or incomplete (please contact us using the details in section 25),1,1
"3.2 please contact generic_508@email_17.domain for any data protection queries or visit the
                information commissioner’s office (ico) via https://77_generic.949_url.domain to lodge a complaint.",1,1
"7.2 our data protection officer's contact details are: company_79326 limited, address_26953",1,1
"7.3 our data protection officer is name_74695, and can be contacted by email at generic_045@email_74.domain, by telephone on +13 (9)4116 048 749, or by post at company_00573 limited, address_04336 hampshire, gu06 7rq.",1,1
a decision to refuse any request of erasure will be made by the board of directors under advisement from the designated data protection officer.,1,1
"a list of data protection officers and their contact details can be
found at the following link: https://73_generic.600_url.domain.",1,1
"alternatively, you may send a letter to
  address_58252 (attention: eu dpo).",1,1
"any queries relating to company_55956 caravan & camping park collection or use of personal information should be addressed to:

address_30561",1,1
company_23705's data protection officer may be contacted via our privacy office at generic_682@email_79.domain,1,1
company_84323 ltd is the data controller and our data protection officer is name_66919.,1,1
complain to the information commissioner about the way in which we collect and use your personal data: https://59_generic.878_url.domain or telephone 0579 287 4787.,1,1
contact details (address / email / telephone) of the dpo.,1,1
contact details here: https://58_generic.418_url.domain,1,1
"data protection officer - performance and community manager. company_80203, address_49036 email generic_514@email_87.domain",1,1
data protection officer: name_6281 / name_1449,1,1
email the data protection officer at generic_043@email_22.domain,1,1
"for more information about our privacy practices, if you have questions, or if you would like to make a complaint, please contact us by e-mail at generic_426@email_08.domain or by mail using the details provided below:",1,1
"for other queries in relation to data protection, please email us at: generic_227@email_60.domain",1,1
"for the purpose of the dpa and gdpr we are the data controller and any enquiry regarding the collection or processing of your data should be addressed to company_02333, address_70223",1,1
for the purpose of the gdpr we are the data controller and any enquiry regarding the collection or processing of your data should be addressed to our [data protection officer or privacy manager] at the following mail address: generic_128@email_70.domain,1,1
"for the purpose of the uk data protection act 2186, the 'data controller' for the processing of data collected by this site is the company_06426, and the point of contact for subject access requests is the university data protection officer (áddress_83169 tel.",1,1
"for the uk, this is the information commissioner's office (ico).",1,1
"get in touch by contacting the data protection lead at the above address, or you can contact the church on 71887 805005 to raise any questions or concerns.",1,1
ico helpline: 3245 372 2834.,1,1
"if any of the information that you have provided us with changes, for example if you change your email address, name, payment details, please let us know: generic_615@email_49.domain or call us on 8511 9442 459.",1,1
"if you are concerned about how your information is used, please contact us at generic_673@email_98.domain or fao data protection lead, company_35085, address_59216",1,1
"if you are dissatisfied with our use of your information or our response to any exercise of these rights you have the right to complain to your data protection authority, this in the uk is the information commissioner's office (click ico for more information).",1,1
if you are not happy with the way that we deal with your concerns you can contact the information commissioner’s office (ico) at https://28_generic.802_url.domain,1,1
"if you are still not satisfied with the outcome of your complaint, you may contact the information commissioner’s office by post at the information commissioner’s office, wycliffe house, water lane, wilmslow, cheshire, sk6 5af or by email using their online form which can be accessed here: https://71_generic.076_url.domain",1,1
"if you are unclear about how we process or use your personal and healthcare information, or you have any questions about this fair processing notice or any other issue regarding your personal and healthcare information, then please do contact our data protection officer (details below).",1,1
"if you are unhappy with how we have used your personal information please contact the data protection officer, company_77541 limited, address_13439 and your complaint will be investigated.",1,1
"if you are unhappy, you have the right to lodge a complaint with a data protection regulator the contact details for the information commissioner's office, the data protection regulator in the uk, are below:",1,1
"if you do not want to contact us first, or you have and we have not handled your concern properly, the information commissioner’s office (ico) is responsible for ensuring company_42361 and other organisations process personal information in the right way and you have the right to make a complaint to them about how company_54251 has handled your personal information.",1,1
"if you feel that your rights have been breached in any way, you should contact name_58721 at the address given or lodge an official complaint with the information commissioner’s office via their website (https://14_generic.460_url.domain or by writing to: information commissioner’s office, address_41694",1,1
"if you have a complaint about data protection or how we use your data, contact our data protection office at generic_539@email_68.domain",1,1
"if you have a concern about the way we handle your personal data or you have a complaint about what we are doing, or how we have used or handled your personal and/or healthcare information, then please contact our data protection officer.",1,1
"if you have a specific query about the use of your data, which is not covered within this privacy statement, or if you would like to obtain a copy of the data held about you, to amend the data you have supplied or to have it removed, please contact name_5860 at address_48010 or email generic_286@email_29.domain",1,1
if you have any concerns about how personally identifiable information is used by company_90084 please contact the data protection officer:,1,1
"if you have any enquiries about any of the bullet points below, please address this query to the dpo team at company_32648 ltd.",1,1
"if you have any further queries or comments on our privacy policy, please contact us via 36115 772660 or generic_781@email_71.domain",1,1
"if you have any questions about our site or this privacy policy, please contact us by email at generic_862@email_40.domain, by telephone on +18 (6)1267 249 273, or by post at company_14344 limited, address_11250",1,1
"if you have any questions about this global privacy policy, including any requests to exercise your legal rights, please email us at generic_129@email_37.domain",1,1
"if you have any questions about this privacy notice, including any requests to exercise your legal rights, please contact our dpo either by post or by email using the details set out below.",1,1
"if you have any questions about this privacy notice, including any requests to exercise your legal rights, please contact the name_03152 or name_23807 reed using the details set out below.",1,1
if you have any questions about this privacy policy or would like to submit a subject access request please contact our data protection officer.,1,1
"if you have any questions about this privacy policy or your personal data, please write to us by email to  generic_343@email_25.domain or by post to address_84409",1,1
"if you have any questions about this privacy policy, would like to submit a data subject access request or amend your current preferences/personal information, please contact our data protection officer via email at generic_990@email_88.domain or in writing to:",1,1
"if you have any questions or comments about this notice, or if you would like us to update the personal data we have about you or your preferences, please contact us by: a) writing to the data controller, company_88286, near address_89018",1,1
"if you have any questions or concerns in relation to this privacy notice you can contact our data protection officer at generic_193@email_19.domain or by writing to the data protection officer, company_32181 limited, address_67098",1,1
"if you have any questions or queries about this privacy and data protection statement, please contact our data protection officer using the above address and contact details.",1,1
"if you have any questions regarding this notice or if you would like to speak to us about the manner in which we process your personal data, please email our data protection point of contact hazel wells, at generic_729@email_03.domain or on 0261 631 9634.",1,1
"if you have any questions regarding this privacy policy or the practices of this site, or wish to withdraw your consent for the continued collection, use or disclosure of your personal information, please contact us by sending an email to generic_903@email_01.domain",1,1
"if you have any questions, comments or complaints about data protection at company_26480, please contact our data protection officer at generic_358@email.domain.",1,1
"if you have any questions, comments or complaints about this global privacy notice and our privacy practices, or would like to update your privacy preferences, please email us at:  generic_955@email_70.domain or write to us at:",1,1
"if you have any questions, comments or suggestions, please let us know by contacting our data compliance officer via email generic_976@email_65.domain",1,1
"if you have any questions, wish to exercise any of your rights detailed in this policy or update your marketing preferences please contact the group compliance manager: by phone: 96547 376444 by post: address_94158",1,1
"if you have any specific data protection concerns or a complaint, you can address it to our data protection officer at generic_954@email_59.domain",1,1
if you have concerns about the way in which we have handled your data please contact our data protection lead.,1,1
"if you have previously agreed to our use of your personal information for direct marketing purposes, or believe that we are doing this without your consent, you may inform us by writing to or emailing us at generic_043@email_49.domain, and we will remove your details from our database.",1,1
"if you have questions about this privacy policy, please contact our data protection officer in writing at company_73134 cancer support, address_18833 or by email generic_534@email_89.domain",1,1
"if you have questions or comments regarding the protection of your privacy or the use of your treatment data to advance medical research, please contact us at generic_163@email_91.domain",1,1
if you remain dissatisfied with our response you can contact the information commissioner’s office at address_11719 – enquiry line: 95081 733092 or online at https://91_generic.086_url.domain,1,1
"if you suspect any misuse or loss or unauthorised access to your data, please let us know immediately by contacting us via this e-mail address: generic_629@email_23.domain",1,1
"if you think that our collection or use of personal information is unfair, misleading or inappropriate, or have any other concerns about the way we handle your information, or if you have any questions, concerns or would like more information about anything mentioned in this privacy notice, please contact the data protection officer at:",1,1
"if you want to exercise any of the above rights, please email our data protection point of contact: generic_920@email_61.domain",1,1
"if you wish to contact us or have any questions about or complaints in relation to this privacy policy, please email us at generic_752@email_45.domain or click here for additional global company_30276 contact information.",1,1
"if you wish to do so please contact us by emailing generic_611@email_02.domain, writing to company_69258, address_96323 or telephoning 63075 330342 (lines open 1am – 3pm, monday – friday).",1,1
"if you wish to do this, please contact our data compliance team at generic_682@email_03.domain",1,1
"if you wish to do this, please use the contact details at the end of this policy.",1,1
"if you wish to find out more about these rights, or obtain a copy of the information we hold about you, please contact our data protection officer at:",1,1
"if you wish to learn more about  our privacy policy, or discuss any aspect of it, obtain a copy of your data or exercise any of your other rights as a data subject, please contact:",1,1
"if you wish to make a subject access request, then please contact our data protection officer, firstname lastname.",1,1
"if you wish to raise any queries or concerns about this privacy policy please contact the soge webmaster by email at generic_067@email_24.domain or by post at school of geography and the environment, company_95037, address_98993, oxford, ox9 8qy.",1,1
"if you would like a copy of some or all of your personal information, please email: generic_088@email_16.domain or write to us at the following address:",1,1
"if you would like a copy of some or all of your personal information, please send an email to generic_708@email_15.domain or send a letter to: the data protection officer, company_60305 solicitors llp, address_18410.",1,1
"if you would like access to, or a copy of the personal information we hold
about you; to request a correction, or have any questions about how we may
use it; or to make a complaint, please contact us at company_00461 address_91186 or email us at generic_137@email_36.domain complaints will be responded to within
23 days of being received.",1,1
"if you would like to discuss anything in this privacy notice, please contact: mrs firstname62 lastname62, head teacher (generic_761@email_51.domain / the data protection officer, firstname52 lastname15, on generic_969@email_76.domain .",1,1
"if you would like to exercise any of these rights please contact generic_050@email_76.domain  or  directors, company_29744, address_70025",1,1
"if you would like to know what personal information we hold about you, or would like us to correct the details we hold about you, you should write to company_06753, address_88553 or email generic_172@email_03.domain enclosing proof of your identity (such as a copy of your passport or driving licence) and asking to see your personal information or asking us to correct the relevant information.",1,1
"if you would like to speak to us about how we handle your personal data, please contact our data protection officer in the first instance at generic_457@email_46.domain",1,1
"if you would like to view the personal data we process about you, to update your contact details and preferences, to tell us you no longer want to receive communication about our products and services, or to tell us you no longer want your personal data processed, you may email us at generic_376@email_86.domain (see below for contact details).",1,1
"if you would prefer us not to profile you for the purposes of targeting or tailoring our fundraising efforts, let us know by emailing generic_309@email_15.domain, calling us on 1770 4545 128, or writing to our data protection officer by email at generic_041@email_66.domain",1,1
"if your require additional information about our data protection officer, the specific roles of any data controllers or processors and/or you have any questions about this privacy policy, please email us at generic_267@email_15.domain, or in writing to:",1,1
"if your require additional information about our data protection officer, the specific roles of any data controllers or processors and/or you have any questions about this privacy policy, please email us at generic_508@email_81.domain, or in writing to:",1,1
"in the event that you feel your gp practice has not complied with the current data protection legislation, either in responding to your request or in our general processing of your personal information, you should raise your concerns in the first instance in writing to the complaints manager at the above address or by email to generic_961@email_76.domain",1,1
or by sending an email to generic_884@email_40.domain or generic_967@email_28.domain,1,1
our data protection lead can be contacted at generic_789@email_20.domain,1,1
our data protection manager is name_77778.,1,1
our data protection officer can be contacted on 59656 802964 and generic_573@email_95.domain,1,1
our data protection officer is name_31080.,1,1
our data protection officer is our data protection point of contact and is responsible for assisting with enquiries in relation to this privacy notice or our treatment of your personal data.,1,1
"our data protection officer is the principal, grace mcgill.",1,1
"our data protection officer,name_92169, ensures that the practice complies with data protection requirements to ensure that we collect, use, store and dispose of your information responsibly.",1,1
our data protection officers” contact details are: name_15898.,1,1
